ts generation ACCURACY_min ACCURACY_mean ACCURACY_max
17:15:07 77 -0.680000 -0.593078 -0.166000
17:15:07 78 -0.680000 -0.593500 -0.166000
17:15:08 79 -0.680000 -0.589966 -0.087000
17:15:09 80 -0.680000 -0.596129 -0.166000
17:15:09 81 -0.680000 -0.601440 -0.087000
17:15:10 82 -0.680000 -0.599713 -0.087000
17:15:10 83 -0.680000 -0.585958 -0.087000
17:15:11 84 -0.680000 -0.612967 -0.138000
17:15:12 85 -0.680000 -0.612817 -0.087000
17:15:12 86 -0.680000 -0.629282 -0.166000
17:15:13 87 -0.680000 -0.603068 -0.166000
17:15:14 88 -0.680000 -0.618331 -0.087000
17:15:14 89 -0.680000 -0.598678 -0.087000
17:15:15 90 -0.680000 -0.606853 -0.166000
17:15:15 91 -0.680000 -0.608052 -0.087000
17:15:16 92 -0.680000 -0.610932 -0.166000
ts generation ACCURACY_min ACCURACY_mean ACCURACY_max
17:15:21 1 -0.395000 -0.256973 -0.087000
17:15:21 2 -0.395000 -0.343343 -0.087000
17:15:21 3 -0.395000 -0.367200 -0.087000
17:15:22 4 -0.496000 -0.388822 -0.087000
17:15:22 5 -0.496000 -0.387719 -0.087000
17:15:22 6 -0.518000 -0.410092 -0.087000
17:15:22 7 -0.483000 -0.402115 -0.111000
17:15:22 8 -0.519000 -0.451752 -0.209000
17:15:23 9 -0.519000 -0.462527 -0.252000
17:15:23 10 -0.496000 -0.437193 -0.087000
17:15:23 11 -0.519000 -0.457934 -0.237000
17:15:23 12 -0.528000 -0.464750 -0.293000
17:15:23 13 -0.555000 -0.465815 -0.252000
17:15:24 14 -0.555000 -0.465415 -0.252000
17:15:24 15 -0.559000 -0.486365 -0.209000
ts generation ACCURACY_min ACCURACY_mean ACCURACY_max
17:15:37 1 -0.395000 -0.252905 -0.077000
17:15:38 2 -0.395000 -0.343319 -0.087000
17:15:38 3 -0.395000 -0.370604 -0.087000
17:15:38 4 -0.395000 -0.373120 -0.087000
17:15:38 5 -0.441000 -0.386021 -0.087000
17:15:39 6 -0.548000 -0.375107 -0.087000
17:15:39 7 -0.490000 -0.380757 -0.087000
17:15:39 8 -0.396000 -0.380324 -0.166000
17:15:39 9 -0.483000 -0.394477 -0.087000
17:15:39 10 -0.441000 -0.396090 -0.164000
17:15:40 11 -0.613000 -0.425594 -0.087000
17:15:40 12 -0.441000 -0.405549 -0.087000
17:15:40 13 -0.441000 -0.417481 -0.228000
17:15:40 14 -0.512000 -0.424213 -0.228000
17:15:40 15 -0.548000 -0.440622 -0.320000
17:15:40 16 -0.512000 -0.416768 -0.087000
17:15:41 17 -0.548000 -0.441733 -0.087000
17:15:41 18 -0.498000 -0.406768 -0.086000
17:15:41 19 -0.548000 -0.465780 -0.087000
17:15:41 20 -0.548000 -0.494359 -0.087000
17:15:42 21 -0.661000 -0.502721 -0.087000
17:15:42 22 -0.661000 -0.495485 -0.087000
17:15:42 23 -0.665000 -0.504537 -0.087000
17:15:42 24 -0.593000 -0.480957 -0.087000
17:15:43 25 -0.661000 -0.517602 -0.087000
17:15:43 26 -0.661000 -0.508056 -0.087000
17:15:43 27 -0.665000 -0.530000 -0.087000
17:15:43 28 -0.661000 -0.550533 -0.087000
17:15:44 29 -0.666000 -0.564839 -0.087000
17:15:44 30 -0.665000 -0.580057 -0.087000
17:15:44 31 -0.661000 -0.599339 -0.166000
17:15:45 32 -0.665000 -0.591702 -0.087000
17:15:45 33 -0.665000 -0.601297 -0.087000
17:15:45 34 -0.665000 -0.607771 -0.087000
ts generation ACCURACY_min ACCURACY_mean ACCURACY_max
17:16:04 1 -0.395000 -0.256775 -0.077000
17:16:04 2 -0.395000 -0.349525 -0.087000
17:16:04 3 -0.395000 -0.364563 -0.087000
17:16:04 4 -0.395000 -0.369581 -0.087000
17:16:05 5 -0.445000 -0.370023 -0.087000
17:16:05 6 -0.496000 -0.383792 -0.087000
17:16:05 7 -0.505000 -0.392163 -0.087000
17:16:05 8 -0.505000 -0.408086 -0.087000
17:16:05 9 -0.505000 -0.426080 -0.120000
17:16:06 10 -0.508000 -0.454133 -0.166000
17:16:06 11 -0.496000 -0.429261 -0.166000
17:16:06 12 -0.505000 -0.453540 -0.166000
17:16:06 13 -0.505000 -0.465752 -0.221000
17:16:06 14 -0.540000 -0.472774 -0.252000
17:16:06 15 -0.514000 -0.468555 -0.166000
17:16:07 16 -0.562000 -0.465007 -0.209000
17:16:07 17 -0.553000 -0.474000 -0.296000
17:16:07 18 -0.539000 -0.462902 -0.233000
17:16:07 19 -0.553000 -0.484771 -0.269000
17:16:07 20 -0.562000 -0.481621 -0.166000
17:16:08 21 -0.539000 -0.466128 -0.166000
17:16:08 22 -0.553000 -0.493430 -0.173000
17:16:08 23 -0.541000 -0.464086 -0.087000
17:16:08 24 -0.647000 -0.519720 -0.125000
17:16:09 25 -0.562000 -0.527265 -0.087000
17:16:09 26 -0.562000 -0.494099 -0.087000
17:16:09 27 -0.613000 -0.515525 -0.087000
17:16:09 28 -0.667000 -0.541565 -0.087000
17:16:10 29 -0.659000 -0.539709 -0.087000
17:16:10 30 -0.566000 -0.490416 -0.274000
17:16:10 31 -0.605000 -0.489714 -0.274000
17:16:11 32 -0.646000 -0.548011 -0.280000
17:16:11 33 -0.667000 -0.593818 -0.087000
17:16:11 34 -0.667000 -0.596600 -0.087000
17:16:12 35 -0.668000 -0.590756 -0.274000
17:16:12 36 -0.668000 -0.599705 -0.087000
17:16:12 37 -0.668000 -0.593413 -0.087000
17:16:12 38 -0.668000 -0.605103 -0.087000
17:16:13 39 -0.668000 -0.613609 -0.087000
17:16:13 40 -0.668000 -0.609738 -0.087000
17:16:13 41 -0.668000 -0.604282 -0.087000
17:16:14 42 -0.715000 -0.627270 -0.087000
17:16:14 43 -0.668000 -0.610504 -0.166000
17:16:15 44 -0.675000 -0.609954 -0.087000
17:16:15 45 -0.668000 -0.609891 -0.166000
17:16:15 46 -0.683000 -0.607492 -0.087000
17:16:16 47 -0.683000 -0.611416 -0.087000
17:16:16 48 -0.715000 -0.623244 -0.087000
17:16:16 49 -0.684000 -0.596629 -0.087000
17:16:17 50 -0.715000 -0.629094 -0.166000
17:16:17 51 -0.680000 -0.607748 -0.087000
17:16:17 52 -0.684000 -0.613353 -0.166000
17:16:18 53 -0.703000 -0.639305 -0.166000
17:16:18 54 -0.675000 -0.581281 -0.087000
17:16:18 55 -0.723000 -0.629771 -0.087000
17:16:19 56 -0.723000 -0.635033 -0.087000
17:16:19 57 -0.715000 -0.612833 -0.166000
17:16:20 58 -0.715000 -0.611090 -0.087000
17:16:20 59 -0.715000 -0.646980 -0.105000
17:16:20 60 -0.723000 -0.640636 -0.087000
17:16:21 61 -0.723000 -0.645381 -0.087000
17:16:21 62 -0.723000 -0.663586 -0.166000
17:16:22 63 -0.723000 -0.658017 -0.103000
17:16:22 64 -0.733000 -0.656798 -0.087000
17:16:23 65 -0.733000 -0.667361 -0.087000
17:16:23 66 -0.733000 -0.679432 -0.087000
17:16:24 67 -0.736000 -0.673076 -0.166000
17:16:24 68 -0.731000 -0.644578 -0.166000
17:16:25 69 -0.736000 -0.655289 -0.087000
17:16:25 70 -0.731000 -0.676576 -0.087000
17:16:26 71 -0.733000 -0.653165 -0.087000
17:16:26 72 -0.739000 -0.645845 -0.087000
17:16:27 73 -0.733000 -0.669677 -0.087000
17:16:28 74 -0.740000 -0.666860 -0.087000
17:16:28 75 -0.740000 -0.692405 -0.166000
17:16:29 76 -0.740000 -0.680218 -0.087000
17:16:29 77 -0.740000 -0.651142 -0.115000
17:16:30 78 -0.742000 -0.663087 -0.105000
17:16:30 79 -0.742000 -0.678226 -0.166000
17:16:31 80 -0.740000 -0.653436 -0.166000
17:16:31 81 -0.742000 -0.660593 -0.087000
17:16:32 82 -0.742000 -0.684179 -0.166000
17:16:32 83 -0.742000 -0.675221 -0.166000
17:16:33 84 -0.742000 -0.674733 -0.087000
17:16:33 85 -0.742000 -0.656427 -0.087000
17:16:34 86 -0.742000 -0.653727 -0.087000
17:16:35 87 -0.742000 -0.617893 -0.087000
17:16:35 88 -0.742000 -0.654456 -0.087000
17:16:36 89 -0.742000 -0.660782 -0.087000
17:16:36 90 -0.742000 -0.648892 -0.087000
17:16:37 91 -0.742000 -0.656371 -0.087000
17:16:38 92 -0.742000 -0.677669 -0.087000
17:16:38 93 -0.742000 -0.670567 -0.087000
17:16:39 94 -0.742000 -0.649500 -0.087000
17:16:39 95 -0.742000 -0.642975 -0.087000
17:16:40 96 -0.742000 -0.668538 -0.087000
17:16:41 97 -0.742000 -0.703471 -0.087000
17:16:41 98 -0.742000 -0.654934 -0.087000
17:16:42 99 -0.742000 -0.684050 -0.087000
17:16:43 100 -0.742000 -0.653392 -0.087000
ts generation CROSS-ENTROPY-LOSS_min CROSS-ENTROPY-LOSS_mean CROSS-ENTROPY-LOSS_max
22:13:39 1 1.386294 3.912498 20.627295
