generation,MIN_MEAN-SQUARED-ERROR,AVG_MEAN-SQUARED-ERROR,MAX_MEAN-SQUARED-ERROR
1,0.49699643,1.0529022,1.7852789
2,0.49375078,0.8322701,1.4796871
3,0.46252784,0.698382,1.3588138
4,0.4701261,0.6258241,1.399488
5,0.47528762,0.5889408,1.301338
6,0.46624193,0.575968,1.24813
7,0.44762117,0.5507538,1.3139777
8,0.4492095,0.55705917,1.2816077
9,0.45819542,0.5659101,1.2833444
10,0.45876193,0.544491,1.2343161
11,0.48602507,0.57004833,1.6121577
12,0.48552048,0.5656586,1.2815958
13,0.45073292,0.53510505,1.4462459
14,0.44063625,0.5306891,1.4310889
15,0.44798315,0.5198836,1.326536
16,0.46698815,0.553081,1.3674686
17,0.45333588,0.5498589,1.177055
18,0.4478763,0.53999794,1.3075659
19,0.44881678,0.53680336,1.2520809
20,0.45223236,0.5352993,1.0686923
21,0.44611862,0.54229945,1.2448841
22,0.41375765,0.5183571,1.2315034
23,0.4146113,0.5381055,1.371409
24,0.4262631,0.55244005,1.3761058
25,0.44199687,0.58685046,1.6836659
26,0.42738014,0.58816123,1.593621
27,0.43915343,0.6085275,1.4069943
28,0.4357912,0.6142088,1.459744
29,0.46339494,0.6484742,1.4970942
30,0.43389392,0.62933075,1.4613093
31,0.40589198,0.61471075,1.4277875
32,0.4589537,0.64871407,1.6860956
33,0.42050084,0.6270092,1.3833369
34,0.4228689,0.6219667,1.6634098
35,0.44521707,0.647619,1.6373844
36,0.42582184,0.6159737,1.4253814
37,0.43629852,0.6276838,1.4229898
38,0.42763138,0.62893814,1.7520738
39,0.44652152,0.62723136,1.378597
40,0.44151554,0.6159316,1.4405081
41,0.42200947,0.60627675,1.4265957
42,0.41910836,0.60867137,1.4300036
43,0.4270613,0.62273145,1.7612582
44,0.41931403,0.6085146,1.5643132
45,0.42412874,0.60920477,1.3945197
46,0.45530868,0.6466642,1.4134512
47,0.44814697,0.6339102,1.4265822
48,0.45754322,0.648218,1.5691568
49,0.44953537,0.6260875,1.6627994
50,0.43857074,0.61298174,1.4272338
51,0.4353913,0.6258512,1.4240376
52,0.4819913,0.6614416,1.5501184
53,0.43581557,0.61706126,1.5897115
54,0.42658764,0.6023739,1.4207196
55,0.42628717,0.6119945,1.5368814
56,0.41653156,0.59599745,1.3965677
57,0.4274995,0.6096966,1.6241919
58,0.41610584,0.59284943,1.704555
59,0.41825983,0.60939676,1.4730395
60,0.44581726,0.634639,1.4709548
61,0.42562696,0.6148441,1.5735421
62,0.40865034,0.59681284,1.4118544
63,0.41808462,0.6075126,1.4308302
64,0.41547406,0.6118122,1.4283566
65,0.4069546,0.6157022,1.4202341
66,0.44912973,0.65610427,1.4434638
67,0.44414204,0.6486597,1.4251913
68,0.42951888,0.6458775,1.6217905
69,0.41165245,0.6108249,1.404271
70,0.41091713,0.6007273,1.4279875
71,0.44706246,0.6298961,1.4160466
72,0.41647702,0.6145056,1.5874652
73,0.42499787,0.6219498,1.453122
74,0.418096,0.6235961,1.5426807
75,0.43181968,0.63632,1.5658458
76,0.41670412,0.6288839,1.425796
77,0.38890028,0.6336487,1.7484806
78,0.39728472,0.62486976,1.4316508
79,0.432879,0.65278983,1.4769199
80,0.39741617,0.6279633,1.4417566
81,0.389596,0.6149742,1.4404519
82,0.38594326,0.6093128,1.7525723
83,0.40907216,0.6400466,1.5951865
84,0.41165435,0.64795834,1.4486535
85,0.37881896,0.6330902,1.7653512
86,0.40244645,0.62828153,1.6565173
87,0.41043553,0.6423418,1.4260291
88,0.3742483,0.5950367,1.4286814
89,0.3693166,0.6095449,1.4302913
90,0.41573158,0.64005435,1.433358
91,0.38780984,0.6000654,1.5827016
92,0.3870921,0.6142512,1.4720939
93,0.40937495,0.64999354,1.3911027
94,0.402161,0.63710576,1.4399258
95,0.3768499,0.6077765,1.4291492
96,0.38801068,0.61398333,1.5211622
