environment,seed,total_reward
Hopper-v5,738491,167.24525
Hopper-v5,204583,171.40248
Hopper-v5,991627,176.28893
Hopper-v5,458720,169.29828
Hopper-v5,174392,173.86664
Hopper-v5,618305,164.19658
Hopper-v5,837154,161.81975
Hopper-v5,265009,165.22366
Hopper-v5,781463,166.2695
Hopper-v5,549128,168.22913
