generation,MIN_MEAN-SQUARED-ERROR,AVG_MEAN-SQUARED-ERROR,MAX_MEAN-SQUARED-ERROR
1,0.4879561,1.0349209,1.8549057
2,0.5092379,0.82650435,1.4281514
3,0.50309736,0.6802599,1.4111547
4,0.49705943,0.6134721,1.4198968
5,0.5001445,0.595478,1.39664
6,0.49280408,0.5786152,1.6558204
7,0.45910656,0.54716295,1.6414087
8,0.4688396,0.55717045,1.6560152
9,0.45851013,0.5506161,1.421615
10,0.48872393,0.56964076,1.206822
11,0.51728266,0.61732495,1.387372
12,0.47624642,0.55956787,1.3478054
13,0.4649451,0.5444034,1.2108935
14,0.45514202,0.5310577,1.2186322
15,0.4835555,0.5659803,1.2497665
16,0.4599961,0.5501383,1.18835
17,0.477621,0.56242,1.5589746
18,0.48590353,0.55853635,1.3368152
19,0.44835415,0.54476076,1.1906477
20,0.43786752,0.5373769,1.7320237
21,0.44959706,0.5589388,1.6396971
22,0.4391906,0.53301746,1.2940915
23,0.42983702,0.5317487,1.3582942
24,0.43739545,0.53914833,1.2175429
25,0.44087267,0.5409129,1.2469738
26,0.4417589,0.5417522,1.5652936
27,0.43235916,0.52968174,1.3835244
28,0.43641898,0.53590924,1.4939928
29,0.50524175,0.61453587,1.3142078
30,0.43667373,0.5564635,1.5664767
31,0.44199365,0.5605989,1.4196365
32,0.42894068,0.54201,1.7915289
33,0.4268288,0.539288,1.315801
34,0.42847386,0.5565407,1.5472327
35,0.43498284,0.5528085,1.2727885
36,0.42927355,0.5505728,1.4635864
37,0.41961592,0.5314297,1.204225
38,0.43191367,0.54585797,1.29335
39,0.44886574,0.55913836,1.3006015
40,0.40758115,0.52533704,1.6118573
41,0.40612417,0.51629347,1.2748538
42,0.4401959,0.5511216,1.2350327
43,0.4241554,0.5401359,1.2801218
44,0.40606913,0.52102816,1.3234004
45,0.4158979,0.53327805,1.353872
46,0.41702375,0.5360371,1.6198566
47,0.41232234,0.5217423,1.6399355
48,0.42242542,0.52379835,1.6635667
49,0.4005817,0.5128855,1.4865223
50,0.3963189,0.520633,1.6816206
51,0.38382325,0.51160187,1.326463
52,0.38992304,0.50971985,1.367809
53,0.4005457,0.5176854,1.8463186
54,0.37648344,0.49873856,1.8455013
55,0.38132277,0.5031233,1.6818264
56,0.38124257,0.501593,1.5097073
57,0.39486194,0.51881343,1.4705043
58,0.38475809,0.5023077,1.5970418
59,0.38822186,0.51047826,1.4674022
60,0.38073066,0.49294156,1.3796986
61,0.39280173,0.52449274,1.4709059
62,0.40243748,0.52152175,1.4888791
