environment,seed,total_reward
Hopper-v5,738491,234.33798
Hopper-v5,204583,231.51576
Hopper-v5,991627,242.54294
Hopper-v5,458720,223.43808
Hopper-v5,174392,246.67862
Hopper-v5,618305,238.60983
Hopper-v5,837154,233.0059
Hopper-v5,265009,234.697
Hopper-v5,781463,226.11197
Hopper-v5,549128,229.75916
