generation,MIN_MEAN-SQUARED-ERROR,AVG_MEAN-SQUARED-ERROR,MAX_MEAN-SQUARED-ERROR
1,0.4628482,1.0405841,1.8181587
2,0.4881216,0.8321762,1.510798
3,0.44419783,0.67053795,1.5186371
4,0.46422863,0.62474,1.4994118
5,0.4708584,0.5818961,1.4846463
6,0.5019529,0.5905147,1.3714781
7,0.4655505,0.527105,1.2075181
8,0.4797021,0.54097223,1.2337836
9,0.46898162,0.54325336,1.281431
10,0.47258562,0.54867077,1.4118208
11,0.458695,0.55277014,1.4228991
12,0.45306975,0.52902114,1.4428029
13,0.47156036,0.53731203,1.4389197
14,0.45907578,0.54025966,1.4312329
15,0.48534745,0.5773227,1.4239247
16,0.50572115,0.6002228,1.3356555
17,0.44662458,0.5502381,1.421191
18,0.47123855,0.57273144,1.4220101
19,0.47376055,0.57102364,1.406603
20,0.47644177,0.5614937,1.4200976
21,0.44543046,0.54634124,1.4327754
22,0.4773679,0.5755401,1.2290375
23,0.43355194,0.53191036,1.2795315
24,0.43763143,0.5541988,1.3889747
25,0.43611604,0.5636905,1.3567095
26,0.4368378,0.5580805,1.419533
27,0.46840966,0.5784447,1.4086527
28,0.43076152,0.5514252,1.6707102
29,0.4761823,0.57992727,1.5030168
30,0.45986724,0.568432,1.3857915
31,0.4526534,0.56394994,1.3767549
32,0.43850094,0.54815555,1.2794324
33,0.44361797,0.5679607,1.4385241
34,0.4434713,0.5449586,1.4399674
35,0.43725467,0.553167,1.3267686
36,0.44927725,0.5593589,1.7851188
37,0.43995982,0.5535999,1.379106
38,0.44856122,0.57389724,1.4291841
39,0.4306831,0.55475646,1.4391055
40,0.40401387,0.5367734,1.3742712
41,0.41438672,0.53757364,1.3409867
42,0.4116716,0.5363627,1.3830056
43,0.43357328,0.54521465,1.3991294
44,0.41592324,0.5355577,1.7725633
45,0.43831757,0.54366666,1.4627447
46,0.4118908,0.5183256,1.3507583
47,0.40791622,0.50761175,1.5875769
48,0.4081331,0.51795644,1.2150592
49,0.44886228,0.55443877,1.4307753
50,0.43795577,0.53242946,1.7613382
51,0.41295877,0.5257837,1.2515657
52,0.442981,0.5430044,1.3214791
53,0.439975,0.5429013,1.3302921
54,0.41830444,0.51936746,1.2025539
55,0.4314432,0.5329938,1.190555
56,0.4534912,0.5647546,1.3297586
57,0.49347487,0.61099184,1.4366087
58,0.42089096,0.5474979,1.4434905
59,0.4513292,0.5663246,1.2803497
60,0.40902433,0.526804,1.2460483
61,0.4158999,0.526005,1.3302304
62,0.4520091,0.5665987,1.2391057
63,0.41185403,0.5215121,1.3182752
64,0.45514196,0.5593938,1.4504149
65,0.40747333,0.5124364,1.3903654
66,0.43590742,0.53859025,1.3448831
67,0.42164558,0.53029776,1.3361875
68,0.4074735,0.52453154,1.45067
69,0.4471965,0.555021,1.4358767
70,0.40822628,0.5217406,1.4395236
71,0.41210905,0.5254491,1.2152789
72,0.44213918,0.5586423,1.5496247
73,0.4332016,0.5498251,1.436591
74,0.40147397,0.51786935,1.4472365
75,0.4361996,0.54048693,1.4062997
76,0.42491916,0.5258117,1.2779223
77,0.40575287,0.5185889,1.2509165
78,0.43015507,0.5338888,1.2184612
79,0.40517575,0.51842004,1.3520924
80,0.41348836,0.5327448,1.4616197
81,0.40284303,0.5165615,1.2868621
82,0.41864136,0.53511524,1.3040149
83,0.44261563,0.5587631,1.2784116
84,0.40323943,0.5282373,1.447144
85,0.41610256,0.53676087,1.4898864
86,0.41985044,0.529034,1.6355361
87,0.40447295,0.53046644,1.2587907
88,0.43579945,0.53979295,1.3451388
89,0.40649122,0.5092319,1.2091167
90,0.4185495,0.52221054,1.5559189
91,0.4089975,0.5139021,1.1568747
92,0.43979093,0.53782374,1.2747921
93,0.42998126,0.5329101,1.3244965
94,0.45302847,0.55395705,1.3881001
95,0.40003327,0.5113779,1.1461385
96,0.4138749,0.5224547,1.2116421
97,0.4099285,0.5193718,1.0916171
98,0.41147256,0.524361,1.4449911
99,0.40308058,0.5122683,1.2666237
100,0.42079967,0.5326435,1.4047717
101,0.40987593,0.5246206,1.2968996
102,0.443581,0.5635124,1.5242956
103,0.42218563,0.5370192,1.348032
104,0.40088964,0.5208966,1.5661471
105,0.45641127,0.58173466,1.3394737
106,0.4012137,0.5174897,1.4369
107,0.41776055,0.5387299,1.2932407
108,0.38931105,0.5145609,1.6412129
109,0.3983447,0.5175079,1.305199
110,0.44939587,0.5650662,1.3085513
111,0.44444245,0.56049377,1.2430643
112,0.41628957,0.5460969,1.3077809
113,0.40456885,0.53278387,1.3186886
114,0.43683445,0.5526914,1.1846343
115,0.41804975,0.55810016,1.3018283
116,0.43623453,0.56416565,1.2648084
117,0.41786674,0.5618397,1.5636684
118,0.39401102,0.52993107,1.1684369
119,0.3865734,0.51363933,1.3515627
120,0.39515516,0.5279382,1.1443607
121,0.40900165,0.54316616,1.2288854
122,0.38818175,0.51824903,1.1365054
123,0.39608213,0.53040236,1.4230173
124,0.40755615,0.5382631,1.3356156
125,0.44006366,0.56617427,1.2840388
126,0.38358268,0.50920117,1.1764815
127,0.44188258,0.5628121,1.285315
128,0.3940618,0.5179214,1.2609184
129,0.43404055,0.5637666,1.3435147
130,0.39297816,0.5216017,1.678791
131,0.47411546,0.6241435,1.4353545
132,0.42062116,0.5454157,1.485861
133,0.41994646,0.55302,1.1981641
134,0.43405107,0.5618871,1.2002847
135,0.4033333,0.5312203,1.1943787
136,0.4201614,0.5545588,1.5480492
137,0.38111645,0.5197784,1.3487927
138,0.39343002,0.5103164,1.1788269
139,0.40901178,0.5257948,1.3721327
140,0.41922385,0.53630775,1.3409665
141,0.4074925,0.51510584,1.3381107
142,0.39049673,0.5115022,1.2960846
143,0.40454134,0.5232089,1.318416
144,0.44915226,0.5680223,1.3717936
145,0.4512146,0.56299883,1.4192812
146,0.39846018,0.51495105,1.1993449
147,0.4231437,0.55033946,1.32719
148,0.41741177,0.5304298,1.3121946
149,0.38688684,0.513571,1.4100777
150,0.41514057,0.5408711,1.2778509
151,0.389411,0.51219726,1.2835945
152,0.413921,0.5361588,1.4044354
153,0.43814197,0.55528593,1.3680834
154,0.44610006,0.5528406,1.3206316
155,0.45174998,0.55981255,1.1747394
156,0.45374238,0.5693703,1.3037449
157,0.40227595,0.5141048,1.0931194
158,0.43100432,0.5433222,1.2267344
159,0.40432927,0.5142496,1.2466483
160,0.45584053,0.5664685,1.3668346
161,0.39535606,0.50074315,1.3428705
162,0.44051582,0.55014306,1.2190526
163,0.43879277,0.5456862,1.3197074
164,0.4119995,0.51482093,1.3275037
165,0.447093,0.5561035,1.3423859
166,0.40072274,0.5160892,1.4474266
167,0.43183422,0.5455036,1.3854519
168,0.41806358,0.5386993,1.3920172
169,0.4516456,0.564905,1.3498622
170,0.40715894,0.5265964,1.3560582
171,0.44100922,0.5550179,1.1718558
172,0.41478363,0.5264276,1.244383
173,0.41546586,0.5296743,1.2581787
174,0.4372936,0.54128075,1.3579304
175,0.40861112,0.52381635,1.289928
176,0.41576415,0.5325695,1.219347
177,0.39663643,0.5126944,1.3835154
178,0.4205013,0.53452915,1.2791661
179,0.41789743,0.53397894,1.3585148
180,0.41409102,0.5395561,1.4149376
181,0.4194068,0.5460788,1.3271649
182,0.42367038,0.54566926,1.4305637
183,0.40769556,0.53152585,1.3175302
184,0.41752428,0.5476427,1.4807546
185,0.40366396,0.5274586,1.3208333
186,0.40257517,0.5218054,1.320408
187,0.38785657,0.5192119,1.2989558
188,0.43672937,0.5659929,1.441656
189,0.3897805,0.5080401,1.4922062
190,0.43551216,0.5616665,1.310977
191,0.42252874,0.53975976,1.248502
192,0.40951794,0.5392878,1.3332944
193,0.40375865,0.5227093,1.2512461
194,0.39767513,0.51588696,1.5525509
195,0.4011818,0.5315759,1.1562154
196,0.40938932,0.53871465,1.1893711
197,0.4302428,0.55161774,1.5559324
