generation,MIN_MEAN-SQUARED-ERROR,AVG_MEAN-SQUARED-ERROR,MAX_MEAN-SQUARED-ERROR
1,0.49831465,1.0469141,1.8190151
2,0.47730651,0.8182774,1.4758656
3,0.4925375,0.7108242,1.3268795
4,0.46043125,0.6197924,1.3557893
5,0.48950958,0.5982854,1.2705781
6,0.46780193,0.56242764,1.4423587
7,0.4531552,0.54820794,1.2514213
8,0.4543882,0.53166187,1.7292033
9,0.44150943,0.51922995,1.2649407
10,0.46533963,0.54527694,1.3248365
11,0.44709143,0.5372945,1.6737763
12,0.49773124,0.58249915,1.2161448
13,0.46791533,0.5643899,1.4173979
14,0.50395733,0.6013329,1.3461136
15,0.44770578,0.54026175,1.2863098
16,0.4447729,0.5304572,1.3053886
17,0.45090285,0.54263145,1.3734019
18,0.4771762,0.5526267,1.4145125
19,0.42759088,0.51627773,1.3049252
20,0.4273385,0.51110744,1.3791283
21,0.44615105,0.53782094,1.2720631
22,0.4441575,0.53589106,1.2292942
23,0.45258796,0.5483026,1.2036191
24,0.42916957,0.5148551,1.1418861
25,0.43087712,0.53379595,1.3904258
26,0.4179706,0.518449,1.1196682
27,0.43096128,0.5306466,1.3230541
28,0.39923224,0.49791726,1.2247287
29,0.40604913,0.51720566,1.1760885
30,0.40090615,0.51145566,1.4259701
31,0.40908396,0.5103096,1.129679
32,0.42030185,0.5138451,1.3015741
33,0.41761175,0.51989275,1.2154155
34,0.4138236,0.51375115,1.3960896
35,0.39012387,0.49559322,1.1360908
36,0.40453953,0.5118138,1.4261496
37,0.39668044,0.4995595,1.5772434
38,0.425542,0.52847475,1.2448997
39,0.3986419,0.5058027,1.2247423
40,0.41840902,0.5178567,1.5015005
41,0.39549252,0.5033908,1.6636834
42,0.39751273,0.5015091,1.2624632
43,0.38907966,0.4838831,1.2725968
44,0.40493405,0.49626297,1.1384841
45,0.42402196,0.52639484,1.4171234
46,0.39550403,0.49266824,1.3007724
47,0.3970713,0.49139693,1.2097734
48,0.41123027,0.5032308,1.1837825
49,0.40141693,0.5003137,1.1605222
50,0.39532462,0.4883434,1.30703
51,0.41790378,0.51071256,1.2896309
52,0.39976153,0.48662388,1.1316853
53,0.39410353,0.47891927,1.1338214
54,0.382564,0.4754957,1.2747251
55,0.3881763,0.48864156,1.3132377
56,0.394663,0.48358652,1.1634933
57,0.42493886,0.51925665,1.1680281
58,0.38738126,0.48114663,1.4128419
59,0.40463522,0.4984958,1.3799052
60,0.38179648,0.48103717,1.2023145
61,0.3876377,0.47966722,1.2445381
62,0.38005805,0.4784193,1.1052923
63,0.3920983,0.49396735,1.1998714
64,0.3821276,0.48644504,1.2925924
65,0.37530532,0.47549,1.0310147
66,0.38474151,0.4803645,1.1123705
67,0.37982708,0.48805344,1.3145909
68,0.38517255,0.49005312,1.2172292
69,0.37731847,0.485934,1.2093619
70,0.37005284,0.47068337,1.3479168
71,0.36210284,0.46996945,1.1010891
72,0.38571057,0.4898891,1.0734041
73,0.38437933,0.47426996,1.218273
74,0.38475826,0.4915565,1.2354221
75,0.39713913,0.4840851,1.1759304
76,0.38434806,0.46967107,1.1871582
77,0.40810958,0.49121672,1.1733474
78,0.393074,0.47692874,1.182502
79,0.3787186,0.46844783,1.1902251
80,0.4023605,0.4840724,1.2587684
81,0.36507782,0.45201153,1.4104477
82,0.35709992,0.45131972,1.0436814
83,0.36819798,0.44764218,1.3473635
84,0.40214956,0.49974006,1.4334517
85,0.3661923,0.45954165,1.2031512
86,0.36690792,0.4693265,1.3500657
87,0.3629309,0.45911,1.1802229
88,0.39681384,0.48714268,1.1002022
89,0.41226965,0.5019336,1.1129044
90,0.36695516,0.4617565,1.2308942
91,0.3853068,0.48294666,1.2284082
92,0.36433548,0.4553435,1.188947
93,0.36397582,0.46296975,1.3638097
94,0.35278028,0.44844574,1.0890423
95,0.4032922,0.5035129,1.169034
96,0.364423,0.4480006,1.345664
97,0.3733012,0.45914024,1.4049377
98,0.3952672,0.4828754,1.0606823
99,0.34652075,0.4464243,1.3452051
100,0.37072244,0.45513204,1.289237
101,0.3453136,0.42988598,1.2948517
102,0.3793863,0.4618624,1.126664
103,0.35244912,0.44395372,1.1392221
104,0.38699946,0.4698947,1.0767541
105,0.36897707,0.45468384,1.4153266
106,0.3512458,0.4389236,1.246741
107,0.36759275,0.4552853,1.6419663
108,0.3638608,0.4577345,1.1594442
109,0.35125908,0.42881528,1.1539373
110,0.35866088,0.44258147,1.2571014
111,0.3876582,0.47479165,1.2739825
112,0.36184704,0.4500589,1.0819969
113,0.37693128,0.46233103,1.1671546
114,0.346848,0.43838072,0.9900197
115,0.3514107,0.4365393,1.2541491
116,0.3937928,0.47105166,1.1053423
117,0.35915804,0.44327208,1.2900069
118,0.368449,0.44552153,1.1966305
119,0.35389173,0.43777058,1.0623018
120,0.3601386,0.4554482,1.1145872
121,0.3525477,0.4390474,1.0681753
122,0.39721632,0.4867102,1.1217027
123,0.36080223,0.44591516,1.1263123
124,0.3634247,0.44874287,1.3844672
125,0.36081472,0.45051557,1.0106993
126,0.35700238,0.4535693,1.3732187
127,0.35578042,0.44228226,1.3491137
128,0.34478313,0.44023675,1.0962206
129,0.40568528,0.49354258,1.6155087
130,0.35942632,0.4498036,1.0802498
131,0.3447258,0.4290814,1.1348839
132,0.35699046,0.44283623,1.170678
133,0.34231925,0.43278793,1.256376
134,0.37119934,0.45381206,1.2792482
135,0.35051292,0.43140548,1.1495364
136,0.34613907,0.42694333,1.207406
137,0.41611454,0.49828246,1.2493176
138,0.35484383,0.43628624,1.0703902
139,0.35687253,0.43882668,1.1994404
140,0.37196934,0.4516613,1.0552604
141,0.34261012,0.4286457,1.2886232
142,0.33823603,0.4251026,1.434742
143,0.33826387,0.42497778,1.2873387
144,0.33819088,0.42318037,0.92505866
145,0.36696622,0.4442295,1.2086072
146,0.36657017,0.44507158,1.0293683
147,0.35963333,0.44148675,1.2034627
148,0.3688729,0.4566266,1.2496158
149,0.35662004,0.44434094,1.3220744
150,0.32731685,0.41860855,1.2772304
151,0.34207612,0.4336986,1.1383449
152,0.34981003,0.43783855,1.1391509
153,0.41042972,0.4974144,1.0988463
154,0.3746065,0.45750415,1.2190106
155,0.33767018,0.4176425,1.0767592
156,0.33442396,0.41506287,1.1982423
157,0.34800223,0.42990053,1.0609412
158,0.3332133,0.41554648,1.0627022
159,0.36802644,0.4449822,1.2031227
160,0.3410981,0.42210236,1.0669715
161,0.34201613,0.42285806,1.3435596
162,0.39598748,0.4764284,1.2996925
163,0.33576304,0.41347346,1.163522
164,0.35403743,0.4402427,1.4198147
165,0.36830407,0.44778287,1.2049948
166,0.36238453,0.43513563,1.0724016
167,0.33689383,0.41314724,1.2271543
168,0.34576324,0.4231781,1.1632466
169,0.3468034,0.42559335,1.1333249
170,0.33338475,0.4103602,1.1668199
171,0.34327084,0.4160531,1.3066543
172,0.3631387,0.44266805,1.274471
173,0.3596329,0.44050583,1.4095727
174,0.3509462,0.43154556,1.2169894
175,0.34558743,0.42093873,1.2674104
176,0.38693333,0.46251813,1.0363632
177,0.34684137,0.43153948,1.1304593
178,0.35673836,0.43341428,1.2769718
179,0.33981195,0.4266894,1.2925615
180,0.32221594,0.40866372,1.2124118
181,0.32388636,0.4060446,1.4570407
182,0.3846814,0.45918247,1.1273263
183,0.36661723,0.45590508,1.2230996
184,0.33263922,0.4195515,1.1546772
185,0.34982023,0.4295331,1.3250597
186,0.37510958,0.45270264,1.1414628
187,0.3402675,0.42328078,1.1720649
188,0.33460867,0.4222321,1.2122614
189,0.33329502,0.41572568,1.3649395
190,0.33223468,0.42300102,1.1065806
191,0.367469,0.44916728,1.0904148
192,0.4468237,0.5342469,1.1423088
193,0.3503841,0.43873578,1.149816
194,0.3466305,0.42522216,1.0572827
195,0.35720935,0.44945255,1.2045887
196,0.36464277,0.46326867,1.2509744
197,0.34159416,0.4334664,1.1452926
198,0.33006212,0.42601895,1.0182483
199,0.32027352,0.41105637,0.9964849
200,0.3354811,0.42876717,1.0770353
201,0.33258602,0.42474815,1.089503
202,0.31746256,0.41683784,1.0777458
203,0.32240734,0.4117351,1.130113
204,0.3848147,0.4661618,1.0602615
205,0.34724724,0.43443447,1.1176832
206,0.3177048,0.41121575,1.064036
207,0.33850732,0.4346845,1.3046519
208,0.35983917,0.45199886,1.1954772
209,0.3234727,0.40823826,1.1883317
210,0.34283337,0.43080333,1.1052262
211,0.33556855,0.4231687,1.0391201
212,0.3603336,0.44674575,1.1634781
213,0.32303497,0.4068457,1.0043689
214,0.3346116,0.42570505,1.2077594
215,0.3340416,0.41488612,1.10532
216,0.32022256,0.40054813,1.0287789
217,0.33985728,0.4295704,1.069693
218,0.31827322,0.4074594,1.098876
219,0.3339849,0.42066234,1.0921092
220,0.3265425,0.41479418,1.3491169
221,0.3371476,0.4333245,1.2007446
222,0.33623773,0.4283141,1.1829127
223,0.3260149,0.4164173,1.0160278
