environment,seed,total_reward
Hopper-v5,738491,206.8773
Hopper-v5,204583,207.31386
Hopper-v5,991627,208.84563
Hopper-v5,458720,203.7954
Hopper-v5,174392,206.99937
Hopper-v5,618305,206.5225
Hopper-v5,837154,205.12321
Hopper-v5,265009,205.83144
Hopper-v5,781463,203.60861
Hopper-v5,549128,204.9885
