generation,MIN_MEAN-SQUARED-ERROR,AVG_MEAN-SQUARED-ERROR,MAX_MEAN-SQUARED-ERROR
1,0.5063822,1.0521257,1.7844641
2,0.48671833,0.8134759,1.6535186
3,0.49912533,0.69754374,1.441479
4,0.48190016,0.6120877,1.4318669
5,0.46585044,0.5725977,1.4374995
6,0.52739054,0.6181241,1.5259746
7,0.48841482,0.58671004,1.4130524
8,0.4452697,0.5664084,1.3473262
9,0.4337692,0.5541912,1.3515176
10,0.45773244,0.58327645,1.7307532
11,0.44409814,0.5698262,1.4085882
12,0.4345828,0.54744476,1.4144925
13,0.44765317,0.5551112,1.3370432
14,0.43529347,0.53830475,1.3561796
15,0.42370877,0.52901155,1.3463598
16,0.436247,0.5341055,1.2632165
17,0.41969988,0.5128002,1.4301322
18,0.4418918,0.5428282,1.3308915
19,0.4359049,0.5316903,1.2048894
20,0.40641358,0.5051814,1.3347847
21,0.4392822,0.5410794,1.2717007
22,0.4225504,0.53698915,1.442268
23,0.40413746,0.50014734,1.4334207
24,0.39362854,0.48672497,1.179285
25,0.3975996,0.48499778,1.2440562
26,0.40924385,0.50579566,1.2655497
27,0.39344323,0.48842052,1.2574617
28,0.4006267,0.4973079,1.0233122
29,0.39594457,0.49320164,1.4008892
30,0.36424357,0.4581107,1.4161683
31,0.4111638,0.5010458,1.2376988
32,0.39835867,0.49199903,1.2516977
33,0.4056613,0.49046603,1.0880183
34,0.3864619,0.47904295,1.3997852
35,0.40747052,0.4887793,1.5531933
36,0.39839324,0.48290032,1.1959758
37,0.3764069,0.4738294,1.2919995
38,0.37602103,0.4771226,1.3311685
39,0.368672,0.47658992,1.2300814
40,0.36309236,0.47260478,1.2316631
41,0.35903293,0.4684943,1.3038421
42,0.36896354,0.4822011,1.311864
43,0.3582736,0.46629092,1.2073189
44,0.36513507,0.45657462,1.2764829
45,0.35891217,0.46092606,1.4397638
46,0.34767354,0.43737543,1.2862036
47,0.38336933,0.47002932,1.4093926
48,0.35219908,0.43837747,1.17153
49,0.35055754,0.43622932,1.0327783
50,0.36518127,0.4541265,1.1264764
51,0.36364388,0.45581135,1.0868218
52,0.35732543,0.4492942,1.2125033
53,0.35866928,0.46075112,1.2003496
54,0.40696508,0.50823635,1.0997344
55,0.42104545,0.5059353,1.1705533
56,0.35793847,0.4615346,1.388336
57,0.35445717,0.43932316,1.0359623
58,0.3567924,0.45786747,1.345935
59,0.37121412,0.4726114,1.2286682
60,0.3689771,0.4633362,1.3692684
61,0.34868076,0.44831535,1.1671839
62,0.35526198,0.44766787,1.432296
63,0.34784082,0.44429204,1.5795776
64,0.3527559,0.4394051,1.2364231
65,0.43076026,0.52464443,1.1271492
66,0.3492605,0.43624654,1.0443822
67,0.35639986,0.4413391,1.5323147
68,0.3617303,0.45715082,1.2642949
69,0.37595865,0.4752768,1.3335465
70,0.36376566,0.4500474,1.0419961
71,0.34661332,0.44221944,1.2048731
72,0.39037883,0.48975518,1.3350015
73,0.3725707,0.46867615,1.2513834
74,0.38121435,0.4825135,1.2373004
75,0.35982928,0.4489946,1.1881528
76,0.36168936,0.45953766,1.1299533
77,0.34701744,0.4438414,1.1063802
78,0.39974225,0.49871674,1.2260276
79,0.34126166,0.4382323,1.3037794
80,0.36323833,0.4581927,1.246779
81,0.38666716,0.4958294,1.2582058
82,0.36698252,0.46292165,1.1953715
83,0.34458292,0.43939793,1.1135308
84,0.3499057,0.45486754,1.2124772
85,0.36637095,0.4673773,1.1638057
86,0.34172395,0.43925717,1.2084439
87,0.38094655,0.48287487,1.290381
88,0.35999733,0.46056068,1.1104318
89,0.32853338,0.4527169,1.1332163
90,0.34320003,0.4533293,1.3795128
91,0.32933468,0.44119978,1.3340464
92,0.35742047,0.47417313,1.1024593
93,0.32558703,0.4311529,0.98887503
94,0.38741186,0.49268878,1.3375188
95,0.35762855,0.4650303,1.4488922
96,0.37608117,0.49434695,1.1214414
97,0.33877537,0.44492146,1.0905627
98,0.33220655,0.44678792,1.1790785
99,0.37144414,0.47543055,1.1902511
100,0.3429466,0.44337004,1.1217495
101,0.35614422,0.4584468,1.1827539
102,0.34696162,0.45002466,1.24881
103,0.3393068,0.4391923,1.1367893
104,0.32408056,0.42008623,1.0415515
105,0.32817996,0.42604032,1.4183692
106,0.34867004,0.45482117,1.3635778
107,0.32510012,0.42711264,1.1628401
108,0.35727552,0.46125293,1.4297316
109,0.36459127,0.46352074,1.1818036
110,0.33495528,0.4383971,1.1702068
111,0.35528377,0.4581412,1.1078978
112,0.3268645,0.43065304,1.2571502
113,0.32446343,0.42789724,1.1938813
114,0.32600912,0.43007576,1.1555728
115,0.3432334,0.44152838,1.2138187
116,0.34495497,0.43595138,1.430942
117,0.3206762,0.41959926,1.0422603
118,0.3344215,0.43356657,1.1926304
119,0.33122477,0.43098664,1.1410412
120,0.31785733,0.4226255,1.063941
121,0.34314525,0.43794054,1.062381
122,0.33256832,0.43252137,1.103789
123,0.34056586,0.438543,0.9866119
124,0.3400698,0.44188532,1.4047602
125,0.3219054,0.43043998,1.0513368
126,0.31446317,0.41536117,1.0459855
127,0.33358195,0.43186167,0.995115
128,0.3536898,0.45609772,1.156337
129,0.34796104,0.4489,1.1416714
130,0.33203286,0.42947277,1.2611206
131,0.33081108,0.43135378,1.7521012
132,0.3351611,0.4344144,1.1919463
133,0.3508775,0.4489814,1.0204235
134,0.33637574,0.42975327,1.1007326
135,0.3202922,0.41830197,1.2138215
136,0.34717867,0.43939552,1.4121906
137,0.35114238,0.44718403,0.99315214
138,0.34280172,0.44568488,1.1095467
139,0.41465008,0.5113231,1.3587457
140,0.3184784,0.4265603,1.0005956
141,0.33549207,0.43120974,1.195325
