environment,seed,total_reward
Hopper-v5,738491,3.544133
Hopper-v5,204583,2.8181684
Hopper-v5,991627,2.6040838
Hopper-v5,458720,2.1024246
Hopper-v5,174392,3.0453289
Hopper-v5,618305,2.8323126
Hopper-v5,837154,2.4254184
Hopper-v5,265009,2.862028
Hopper-v5,781463,2.6557164
Hopper-v5,549128,2.7536147
