generation,MIN_MEAN-SQUARED-ERROR,AVG_MEAN-SQUARED-ERROR,MAX_MEAN-SQUARED-ERROR
1,0.46820208,1.0436265,1.811388
2,0.47250295,0.816411,1.6534992
3,0.44449508,0.6639019,1.5399855
4,0.46543843,0.6075015,1.3272544
5,0.4573346,0.5840856,1.2900523
6,0.46550417,0.57113546,1.3876073
7,0.43956256,0.5398879,1.2999828
8,0.4406882,0.5221622,1.4407818
9,0.43799594,0.4900179,1.1242013
10,0.40193447,0.48123568,1.045654
11,0.41923267,0.49004272,1.133656
12,0.41407353,0.49321792,1.0815836
13,0.3864957,0.46409032,1.0928953
14,0.4378444,0.5147886,1.3047137
15,0.3889735,0.4575713,1.1222326
16,0.3930839,0.454891,1.1286353
17,0.41823944,0.47067377,1.2961036
18,0.44437978,0.49605283,1.3099778
19,0.39960244,0.44347385,1.2028632
20,0.42247716,0.477353,1.1660157
21,0.4068733,0.45950705,1.2671963
22,0.39742175,0.45653564,1.1515142
23,0.388699,0.4407137,1.0219358
24,0.3736011,0.43197933,1.5417472
25,0.3790318,0.44107458,1.2877481
26,0.36814663,0.436718,1.43228
27,0.37930137,0.4433992,1.1295505
28,0.38250506,0.44436592,1.1927044
29,0.4160734,0.47470376,1.5665088
30,0.38440034,0.46137714,1.302552
31,0.3724859,0.43964994,1.5315273
32,0.3996266,0.47147644,1.1772023
33,0.36143318,0.43755254,1.2904811
34,0.3804399,0.45645228,1.2375535
35,0.37651682,0.45543042,1.539201
36,0.41012436,0.49583676,1.3941
37,0.36851496,0.44439918,1.1938318
38,0.3683768,0.44954187,1.1174173
39,0.40211323,0.47692847,1.2185988
40,0.3874191,0.46442845,1.5516661
41,0.37278816,0.45842826,1.3147584
42,0.38351873,0.47041798,1.2157836
43,0.37485707,0.46329898,1.3128166
44,0.39539233,0.48390576,1.3095195
45,0.3788992,0.46247864,1.5433996
46,0.37047783,0.46269724,1.3696893
47,0.3714526,0.47309598,1.3468451
48,0.38774163,0.4826945,1.5263265
49,0.35742894,0.47137013,1.3909085
50,0.3565145,0.4673425,1.5739278
51,0.38468364,0.4993943,1.4142301
52,0.39068967,0.509078,1.4316415
53,0.38999385,0.5102411,1.3327351
54,0.37173113,0.4978698,1.3608018
55,0.3909383,0.5104355,1.6628765
56,0.3673632,0.48771688,1.4521973
57,0.36803532,0.48968762,1.6621653
58,0.4140879,0.51848805,1.5760655
59,0.40583053,0.5242797,1.3163676
60,0.3838609,0.49344718,1.3172331
61,0.35538912,0.4731441,1.6724668
62,0.37960392,0.5012038,1.5840985
63,0.38608336,0.5055859,1.4239082
64,0.361719,0.47346836,1.4648494
65,0.35042596,0.47618446,1.4397442
66,0.3686003,0.48384556,1.5120894
67,0.3630929,0.495183,1.5054355
68,0.34560665,0.47059512,1.6292126
69,0.37928927,0.5027906,1.4154438
70,0.37909997,0.49336866,1.5370697
71,0.36400992,0.49712357,1.6520063
72,0.36900944,0.47735852,1.3423432
73,0.38235632,0.49991083,1.504626
74,0.35301232,0.4906093,1.7148082
75,0.35052562,0.4814293,1.6745616
76,0.35938245,0.4890313,1.5226003
77,0.37329403,0.4973169,1.5549916
78,0.41117898,0.52920526,1.4167113
79,0.40703574,0.5282263,1.3613353
80,0.36970714,0.4951942,1.3365746
81,0.37496877,0.49648386,1.4440775
82,0.35427755,0.45895514,1.5246339
83,0.35983762,0.47901812,1.4283125
84,0.3624405,0.47975028,1.2902021
85,0.36147475,0.48788065,1.5257363
86,0.38391906,0.5060818,1.448198
87,0.35756758,0.47711232,1.4653927
88,0.36795804,0.48689994,1.6043088
89,0.37945163,0.50419134,1.5319625
90,0.3671498,0.48971984,1.5508608
91,0.380816,0.5064165,1.6764902
92,0.36542672,0.4886562,1.359151
93,0.37403262,0.50236833,1.5279452
94,0.37137347,0.4899121,1.6402594
95,0.37816158,0.51643944,1.5585353
96,0.34651238,0.46847677,1.5095344
97,0.36664215,0.49611002,1.6549513
98,0.3411548,0.4595657,1.3094598
99,0.3593684,0.48439157,1.6220847
100,0.36254552,0.49288836,1.5300848
101,0.35341415,0.49233952,1.3983356
102,0.34932193,0.47779083,1.287019
103,0.35273942,0.48181137,1.5141867
104,0.36073217,0.48408797,1.6449206
105,0.3824489,0.5065509,1.3758901
106,0.35270664,0.47561496,1.5050331
107,0.37309945,0.498435,1.4227101
108,0.36180457,0.50469184,1.3695911
109,0.3566284,0.48800606,1.301247
110,0.35318106,0.4867646,1.5103575
111,0.3987309,0.5185519,1.4961212
112,0.35075325,0.47896376,1.3409942
113,0.3496972,0.4835486,1.7186964
114,0.353593,0.4960609,1.578793
115,0.36095265,0.4993025,1.5166368
116,0.35273954,0.4912723,1.5051521
117,0.34469524,0.48856902,1.3353413
118,0.36562753,0.5194649,1.6508636
119,0.3629447,0.5013434,1.302937
120,0.37034225,0.5023153,1.6658411
121,0.36419982,0.5037341,1.5423582
122,0.34330896,0.5019688,1.7449337
123,0.33758977,0.47710213,1.3968748
124,0.3513563,0.48749888,1.5210615
125,0.3311171,0.4825112,1.3155938
126,0.4457762,0.58979946,1.6513492
127,0.33785602,0.49068832,1.5266211
128,0.34146485,0.48603886,1.6371995
129,0.3668007,0.52401733,1.5085084
130,0.35351422,0.50265336,1.3599213
131,0.35675898,0.50403976,1.4389904
132,0.34762833,0.50122726,1.310665
133,0.3298483,0.48113015,1.5240203
134,0.4065227,0.57128733,1.4558045
135,0.39877522,0.5556735,1.6035597
136,0.32873476,0.49050483,1.5615168
137,0.35035354,0.49388796,1.4247917
138,0.366547,0.5181719,1.5557847
139,0.34487876,0.49185383,1.448091
140,0.35219258,0.5078481,1.5506026
141,0.3669933,0.52011406,1.6191214
142,0.3531273,0.5178818,1.690444
143,0.35625678,0.5101257,1.6552596
144,0.35856664,0.53222096,1.5939198
145,0.34195393,0.49657506,1.379642
146,0.36304095,0.522542,1.48395
147,0.35921156,0.50603825,1.6400539
148,0.36729974,0.5200156,1.325212
149,0.3693485,0.51800716,1.3170992
150,0.3523074,0.50319076,1.641413
151,0.3236054,0.46556488,1.5887406
152,0.34330207,0.49133617,1.63514
153,0.36854675,0.50482494,1.5179545
154,0.33575934,0.48583987,1.5079867
155,0.36584747,0.5203287,1.511774
156,0.33462453,0.4875365,1.3384703
157,0.3690013,0.51152855,1.3088168
158,0.35896194,0.5241632,1.5859219
159,0.3385018,0.4846872,1.3484408
160,0.3344506,0.4907434,1.4684317
161,0.35411894,0.5134245,1.5652105
162,0.3324603,0.4980069,1.6559105
163,0.35159278,0.51741946,1.6763239
164,0.33138368,0.4751201,1.4001235
165,0.33323866,0.4845375,1.4852407
166,0.35874346,0.51385194,1.4100786
167,0.34531787,0.5145456,1.5974163
168,0.35426408,0.49244756,1.3192029
169,0.3392874,0.49831605,1.5913453
170,0.3436555,0.5007845,1.3345327
171,0.33115646,0.49260196,1.5099425
172,0.3691286,0.527908,1.5602823
173,0.3411117,0.4998421,1.2883277
174,0.37907082,0.5417492,1.4080641
175,0.3835398,0.5337992,1.6726271
176,0.35111195,0.5167933,1.4830475
177,0.36579016,0.5249913,1.7772155
178,0.34569025,0.5110619,1.6518288
179,0.35106242,0.5079596,1.3436433
180,0.33716163,0.49098405,1.567485
181,0.34107125,0.49252874,1.5577289
182,0.3577449,0.4968032,1.489019
183,0.39210883,0.5450272,1.5617433
184,0.36277983,0.5225102,1.7291871
185,0.35844705,0.51537114,1.6863103
186,0.3827905,0.52752465,1.6076202
187,0.35621333,0.52022016,1.3776006
188,0.34467185,0.50893795,1.6278087
189,0.36756894,0.5432761,1.6437377
190,0.34019604,0.5146346,1.6539793
191,0.34586757,0.5137516,1.7055525
192,0.33199492,0.49485037,1.4506562
193,0.34029055,0.5112909,1.6335369
194,0.34740645,0.5208809,1.4984618
195,0.3755323,0.54078275,1.63263
196,0.34715378,0.51729804,1.5783229
197,0.34997192,0.52983737,1.6663948
198,0.3585304,0.5348204,1.5082002
199,0.3251874,0.4815971,1.4094564
200,0.33678156,0.49551728,1.4203265
201,0.34710902,0.52843726,1.8239797
202,0.3246914,0.509777,1.4827888
203,0.3598063,0.5339056,1.6519569
204,0.3347292,0.501336,1.4459643
205,0.3330057,0.5197889,1.7096155
206,0.35320216,0.5139594,1.3358449
207,0.35682535,0.5280153,1.8413393
208,0.33814323,0.5183561,1.7805787
209,0.34936526,0.52133423,1.5698164
210,0.3621736,0.5316396,1.6186911
211,0.3373121,0.51707745,1.631504
212,0.35848817,0.517747,1.6492234
213,0.36101592,0.53183496,1.5403831
214,0.34431282,0.51007026,1.5027994
215,0.33851382,0.49695432,1.4727199
216,0.35051396,0.5046793,1.6483982
217,0.3436952,0.51356715,1.6330979
218,0.37035498,0.53586227,1.4450663
219,0.37018138,0.5348107,1.3312744
220,0.33990657,0.4936876,1.4153153
221,0.33690423,0.5051431,1.7644979
222,0.3532638,0.5107136,1.6029214
223,0.3585007,0.5136366,1.3542464
224,0.37633333,0.54020315,1.51979
225,0.33980256,0.5022232,1.4107023
226,0.33410424,0.4948611,1.52399
227,0.32784942,0.47939885,1.452249
228,0.35796446,0.5125448,1.3374317
229,0.335857,0.49749234,1.4961612
230,0.345852,0.49408898,1.3692364
231,0.3560966,0.5073512,1.3616039
232,0.329274,0.49303177,1.7596388
233,0.33685422,0.4915276,1.4299785
234,0.36616644,0.51542807,1.464788
235,0.32072887,0.46262896,1.3818531
236,0.33708918,0.4971554,1.3999596
237,0.3847727,0.54532945,1.4112731
238,0.354631,0.5101702,1.4381456
239,0.3290013,0.4901094,1.2857021
240,0.35566288,0.5002505,1.2979319
241,0.33942175,0.48756927,1.3618891
242,0.35636774,0.4958691,1.587622
243,0.38684058,0.5227523,1.4456352
244,0.3463978,0.500893,1.2838547
245,0.35121015,0.49673784,1.3930575
246,0.3589455,0.51230943,1.3327861
247,0.33111104,0.4909594,1.2827407
248,0.34188837,0.50035083,1.3478773
249,0.3315764,0.48509932,1.6417986
250,0.44206062,0.5836416,1.6140229
251,0.35312748,0.50447166,1.305111
252,0.3795419,0.53159016,1.3409686
253,0.33994186,0.4936603,1.3647496
254,0.35675585,0.50581247,1.3150675
255,0.35319945,0.50497293,1.3819315
256,0.32994995,0.47649297,1.2859261
257,0.35195643,0.5171051,1.3580003
258,0.3472936,0.5115052,1.3503122
259,0.33817098,0.49905255,1.5518136
260,0.34675133,0.5050141,1.2895477
261,0.34498563,0.5088766,1.3988353
262,0.35746142,0.5062724,1.3058584
263,0.3516688,0.515862,1.3715333
264,0.34499863,0.5023236,1.3057301
265,0.33506125,0.4908122,1.3482034
266,0.3288285,0.50802106,1.7386817
267,0.34931093,0.50275075,1.2856473
268,0.3975721,0.5577676,1.3112822
269,0.3360273,0.5038024,1.3733276
270,0.32986754,0.49040082,1.3919504
271,0.38647845,0.5432002,1.3539518
272,0.35730737,0.51709753,1.3460742
273,0.34357476,0.50239164,1.3704255
274,0.34197074,0.506918,1.340097
275,0.33965525,0.49435455,1.3637646
276,0.3347266,0.50876355,1.3256307
277,0.33336937,0.5020084,1.6670142
278,0.3290832,0.5070162,1.4908811
279,0.3642113,0.52346265,1.390067
280,0.3397099,0.5173471,1.5243948
281,0.32460845,0.4925936,1.4241074
282,0.36090973,0.5309621,1.268643
283,0.36375076,0.5246836,1.3063831
284,0.37339687,0.54383653,1.4018458
285,0.387222,0.5513186,1.342397
286,0.33389285,0.48948178,1.5117329
287,0.33461258,0.49124345,1.5874957
288,0.3452729,0.52070916,1.4626696
289,0.34007978,0.5059623,1.4339706
290,0.3336995,0.5032713,1.3719683
291,0.35089275,0.52791166,1.657537
292,0.36777788,0.5507056,1.3406346
293,0.31153253,0.48691437,1.4914721
294,0.37494656,0.5379249,1.4158738
295,0.39619303,0.5570011,1.4565063
296,0.33709943,0.50064415,1.4981693
297,0.33428818,0.4941597,1.3567106
298,0.31552982,0.4899685,1.4500171
299,0.3354587,0.5119726,1.3913472
300,0.3505442,0.5212952,1.2690672
301,0.32553366,0.48419273,1.7009804
302,0.3365705,0.5074574,1.5747023
303,0.33085853,0.50935054,1.6510323
304,0.35146874,0.5172458,1.4997371
305,0.32598674,0.49291605,1.4943593
306,0.34361354,0.5158919,1.3444542
307,0.35523814,0.51361156,1.3298126
308,0.37060148,0.5372187,1.3556877
309,0.33947244,0.508533,1.2977372
310,0.37890393,0.54986465,1.5516838
311,0.34453622,0.4936118,1.396857
312,0.320628,0.4833061,1.3533441
313,0.35018462,0.50815505,1.4437327
314,0.35756487,0.5357961,1.5137173
315,0.36720473,0.52499074,1.3648123
316,0.33196622,0.49865827,1.2897173
317,0.31602654,0.48795426,1.278584
318,0.32814372,0.48752356,1.365189
319,0.38130143,0.53825855,1.4471174
320,0.3344946,0.48570594,1.3222768
321,0.45450133,0.6087612,1.3782899
322,0.36565134,0.52500975,1.2990689
323,0.3195267,0.48672044,1.2879953
324,0.3281929,0.48286515,1.3320879
325,0.36448258,0.5146177,1.2639676
326,0.32448038,0.47899354,1.333573
327,0.34944797,0.49685398,1.3796669
328,0.36629227,0.5195958,1.4825022
329,0.3628956,0.5088946,1.2899321
330,0.32299745,0.48178026,1.2826575
331,0.3381527,0.49199852,1.5204555
332,0.37182975,0.5268286,1.4536506
333,0.35851943,0.53897125,1.5903435
334,0.3594231,0.5224519,1.3833139
335,0.35239106,0.519151,1.3267478
336,0.32592788,0.49007496,1.2682815
337,0.3383976,0.4860516,1.3694282
338,0.3604378,0.5240352,1.3174621
339,0.33891827,0.50583196,1.2946124
340,0.32689285,0.49366653,1.4707878
341,0.341425,0.49663657,1.6438692
342,0.33346203,0.50368536,1.3603535
343,0.356856,0.5195416,1.643754
344,0.35771367,0.52361333,1.4053907
345,0.34646046,0.5097276,1.2511069
346,0.33240792,0.49306747,1.3495121
347,0.32864383,0.4867247,1.3001792
348,0.34599662,0.5094331,1.356669
349,0.34358436,0.51590306,1.3690437
350,0.34830558,0.52036226,1.5439978
351,0.33513656,0.50230396,1.3926005
352,0.350198,0.5207531,1.4202425
353,0.35125157,0.5129533,1.5272774
354,0.35752147,0.52291006,1.5079129
355,0.3252322,0.5016523,1.4977745
356,0.31531918,0.49001452,1.2880569
357,0.34879804,0.52257055,1.5775635
358,0.35403624,0.5285716,1.5860811
359,0.3174238,0.49283254,1.3993076
360,0.336647,0.49684355,1.597497
361,0.34961754,0.5209503,1.4252163
362,0.3285286,0.50612056,1.6570235
363,0.33964255,0.5125366,1.4423814
364,0.33672935,0.49778867,1.2960755
365,0.33012247,0.49720824,1.347789
366,0.31273177,0.48271257,1.2871585
367,0.3201461,0.4688317,1.418624
368,0.33205,0.49201223,1.589692
369,0.32611445,0.4899237,1.2421242
370,0.35691816,0.5225564,1.4862562
371,0.32596326,0.49229032,1.4412843
372,0.36029097,0.51702344,1.2336477
373,0.35357606,0.52454424,1.3459846
374,0.33364916,0.49740818,1.5526241
375,0.33859387,0.49291956,1.4520735
376,0.3533408,0.51721215,1.5824969
377,0.3770429,0.53044546,1.5368888
378,0.337441,0.512059,1.3242663
379,0.33755946,0.5168193,1.3207246
380,0.33814505,0.50112003,1.3013252
381,0.39244422,0.55542487,1.4157467
382,0.31762862,0.48457673,1.3443377
383,0.3528631,0.50943047,1.2985178
384,0.34625533,0.51700634,1.5754017
385,0.33046964,0.49050567,1.392772
386,0.32043123,0.50017446,1.2960241
387,0.33452392,0.525231,1.5102348
388,0.37664396,0.5556474,1.604781
389,0.33043444,0.50883996,1.6386719
390,0.33152822,0.5028563,1.3843905
391,0.32203367,0.5019567,1.2595057
392,0.35011107,0.5288726,1.3756932
393,0.3256962,0.5149768,1.4655813
394,0.31844324,0.49472284,1.3033988
395,0.31272924,0.48775274,1.3446164
396,0.3529626,0.5203744,1.3847487
397,0.35159156,0.51194024,1.3185512
398,0.33458567,0.5056383,1.4214782
399,0.3683617,0.5180939,1.4949844
400,0.34246656,0.51467,1.3826411
401,0.33541054,0.49165893,1.5129398
402,0.299068,0.4711258,1.7593092
403,0.3746279,0.5610149,1.4087837
404,0.32447508,0.50577784,1.6407098
405,0.3294793,0.49840143,1.3379287
406,0.3262951,0.49751255,1.4990327
