generation,MIN_MEAN-SQUARED-ERROR,AVG_MEAN-SQUARED-ERROR,MAX_MEAN-SQUARED-ERROR
1,0.4791004,1.056661,1.7764479
2,0.4737444,0.8432489,1.6100851
3,0.46247122,0.6995004,1.4774978
4,0.5120134,0.6527472,1.2700258
5,0.46604177,0.5756047,1.2621337
6,0.4963211,0.58280045,1.2648929
7,0.4802558,0.5605283,1.3972441
8,0.4447802,0.5438624,1.3742297
9,0.45591885,0.5233877,1.0998746
10,0.4773672,0.5444511,1.1753424
11,0.458393,0.5291046,1.7612293
12,0.44859818,0.517118,1.2821076
13,0.46089444,0.5335984,1.3566769
14,0.4409075,0.5069378,1.0651871
15,0.42534316,0.49007475,1.1067425
16,0.4426866,0.52340406,1.3192722
17,0.41622207,0.49535662,1.1415946
18,0.40306565,0.49283043,1.0402464
19,0.3950946,0.4891549,1.047795
20,0.40006062,0.4922285,1.22028
21,0.46220616,0.553145,1.086877
22,0.450349,0.521719,1.2846934
23,0.39428362,0.45969167,1.1904079
24,0.44066206,0.5291642,1.0101506
25,0.38279364,0.45894712,1.2175375
26,0.444293,0.5313187,1.1222886
27,0.38615254,0.47470662,1.2543306
28,0.3826799,0.4792027,1.3337677
29,0.3812849,0.47838494,1.3023714
30,0.38193154,0.48136365,1.3679707
31,0.38693666,0.4723056,1.0857831
32,0.40405664,0.50894916,1.231241
33,0.399743,0.5030023,1.2147652
34,0.38858715,0.4953048,1.4416261
35,0.40486568,0.5035641,1.0618576
36,0.38027504,0.49136662,1.217806
37,0.36845857,0.47465193,1.1740736
38,0.39216325,0.48929363,1.4052863
39,0.37672928,0.47383443,1.2206212
40,0.38174576,0.48336923,1.2458689
41,0.40111288,0.49956995,1.2332098
42,0.37580246,0.47821334,1.3832662
43,0.37122804,0.4732247,1.4220107
44,0.37742794,0.47843206,1.3607031
45,0.37019485,0.47577354,1.3131864
46,0.3923138,0.49774396,1.2129723
47,0.36342123,0.4683807,1.5776578
48,0.3647401,0.4695889,1.2577145
49,0.35173336,0.4788606,1.1985545
50,0.36289757,0.4889983,1.3275096
51,0.36022967,0.4866622,1.2648776
52,0.35387978,0.47533795,1.4228282
53,0.36274898,0.48191065,1.1723615
54,0.36557105,0.48179963,1.0787823
55,0.34278965,0.4580531,1.2994492
56,0.33594254,0.43966877,1.158715
57,0.32787228,0.45278525,1.2777002
58,0.34855083,0.4771618,1.3026464
59,0.3525348,0.47939166,1.3016871
60,0.33201942,0.47754017,1.1656245
61,0.34161085,0.46603352,1.1111428
62,0.34637374,0.48837695,1.1586456
63,0.3327094,0.47125423,1.2172209
64,0.33875206,0.48729736,1.1785607
65,0.3319273,0.4730956,1.1287799
66,0.34100595,0.48040918,1.1350279
67,0.34665415,0.49275765,1.1928757
68,0.3400697,0.48173317,1.1853682
69,0.33150876,0.48454016,1.3369215
70,0.34277293,0.49203357,1.2337618
71,0.34009656,0.48538312,1.3525546
