environment,seed,total_reward
Hopper-v5,738491,30.77474
Hopper-v5,204583,34.053703
Hopper-v5,991627,34.15253
Hopper-v5,458720,38.07339
Hopper-v5,174392,31.41507
Hopper-v5,618305,33.545006
Hopper-v5,837154,36.49826
Hopper-v5,265009,34.338177
Hopper-v5,781463,38.530605
Hopper-v5,549128,33.645035
