environment,seed,total_reward
Hopper-v5,738491,8.653824
Hopper-v5,204583,8.604546
Hopper-v5,991627,8.531822
Hopper-v5,458720,8.600514
Hopper-v5,174392,8.684489
Hopper-v5,618305,8.584749
Hopper-v5,837154,8.586791
Hopper-v5,265009,8.663979
Hopper-v5,781463,8.622305
Hopper-v5,549128,8.639634
