generation,MIN_MEAN-SQUARED-ERROR,AVG_MEAN-SQUARED-ERROR,MAX_MEAN-SQUARED-ERROR
1,0.48636588,1.069941,1.782729
2,0.46780217,0.8208044,1.524447
3,0.46873063,0.6733722,1.4675192
4,0.49033055,0.61782855,1.3740613
5,0.47884136,0.5747475,1.4112113
6,0.45842734,0.5575439,1.4249847
7,0.4597852,0.5562666,1.7395701
8,0.44526625,0.5457958,1.2532138
9,0.46382096,0.5654262,1.3024211
10,0.47930774,0.56709635,1.2493534
11,0.44851673,0.5509081,1.0647002
12,0.4641748,0.5578854,1.3708576
13,0.44843885,0.5387062,1.2564147
14,0.44150499,0.53314817,1.2063442
15,0.46366608,0.56059235,1.436544
16,0.48975515,0.57040155,1.1692842
17,0.4555986,0.53616166,1.4288515
18,0.42387176,0.5273188,1.2146751
19,0.43558356,0.53186643,1.3509399
20,0.44796917,0.53728354,1.0414281
21,0.41327673,0.49774274,1.2228903
22,0.42134553,0.51090825,1.2527469
23,0.44760507,0.52944845,1.1989329
24,0.46360433,0.54444635,1.2647344
25,0.45708847,0.5399914,1.0923276
26,0.4353986,0.5162495,1.370867
27,0.43138424,0.5117334,1.3452992
28,0.4127173,0.4864419,1.1793966
29,0.41116703,0.49318305,1.2245879
30,0.4237607,0.5083337,1.3372904
31,0.41046938,0.49868876,1.1884826
32,0.41492373,0.49886698,1.1703582
33,0.44373715,0.5249285,1.2852916
34,0.41509008,0.5167494,1.449068
35,0.42780244,0.51931256,1.3943613
36,0.41301268,0.5067445,1.4340339
37,0.41856983,0.505715,1.2993672
38,0.41971773,0.50376296,1.2032605
39,0.4214474,0.50446904,1.174284
40,0.40012747,0.4921235,1.3077897
41,0.41641974,0.51275635,1.2758118
42,0.41319716,0.501766,1.1935565
43,0.4255623,0.5261588,1.3725599
44,0.41753206,0.5039551,1.0726358
45,0.4227384,0.5164332,1.2883912
46,0.42964602,0.5300399,1.4227476
47,0.42445534,0.51064867,1.4334962
48,0.44038695,0.53639674,1.3236947
49,0.4215246,0.5176415,1.5768843
50,0.43483204,0.52710724,1.3357242
51,0.41863397,0.5153343,1.4058498
52,0.41476163,0.50264436,1.3814404
53,0.41013715,0.51035935,1.3708155
54,0.42695573,0.51953954,1.202249
55,0.4955207,0.5814175,1.3348594
56,0.411448,0.50084287,1.287755
57,0.4151768,0.507556,1.368209
58,0.40033767,0.4882164,1.223758
59,0.46695885,0.55677474,1.270799
60,0.41084582,0.51602817,1.2596394
61,0.41505834,0.5034189,1.0685129
62,0.43032268,0.53370917,1.3266562
63,0.41272178,0.5129697,1.2689995
64,0.4085383,0.5105369,1.2026696
65,0.42789325,0.5265456,1.2346587
66,0.41742486,0.5171889,1.332493
67,0.4052425,0.5158414,1.2986631
68,0.41260794,0.5189508,1.4305601
69,0.4097432,0.5116841,1.2377772
70,0.42155573,0.52389467,1.2633772
71,0.40539882,0.5074528,1.3959606
72,0.41757458,0.51569575,1.399297
73,0.4116502,0.50613856,1.2558675
74,0.42847136,0.53902084,1.3645118
75,0.40521285,0.50315446,1.2357161
76,0.40682292,0.49755925,1.3845161
77,0.39349434,0.5073816,1.3509487
78,0.4271116,0.540696,1.3203336
79,0.43411484,0.5494134,1.6284713
80,0.42075202,0.5309855,1.3443321
81,0.42462823,0.5262398,1.3184518
82,0.4194421,0.5250826,1.6268764
83,0.44428676,0.5491415,1.6515985
84,0.39735612,0.5067374,1.405446
85,0.4084645,0.5152898,1.3491421
86,0.40296802,0.51155806,1.3966426
87,0.42002955,0.5210725,1.2569764
88,0.39424258,0.49630442,1.2417141
89,0.43462914,0.5326581,1.3831545
90,0.42456657,0.5386126,1.4109741
91,0.4159856,0.5273206,1.4454681
92,0.43413588,0.5242728,1.650463
93,0.40499404,0.5209656,1.2916013
94,0.41096565,0.51926196,1.5974053
95,0.46991363,0.5781589,1.4257346
96,0.4194214,0.53847086,1.4309981
97,0.40646958,0.5157732,1.3054944
98,0.40534255,0.5146171,1.440141
99,0.4080341,0.5116693,1.2789161
100,0.40839496,0.5234639,1.3222249
101,0.41483435,0.5254209,1.3118397
102,0.4076636,0.531428,1.3124752
103,0.39351305,0.53336006,1.3016653
104,0.4152034,0.53669584,1.362318
105,0.38625982,0.5172659,1.3617262
106,0.40141773,0.52898216,1.3268094
107,0.3952919,0.5236179,1.3185209
108,0.41964576,0.54454106,1.367581
109,0.39980784,0.52012444,1.2690706
110,0.42997313,0.5489351,1.6539062
111,0.4294004,0.5453183,1.408897
112,0.4178015,0.53368217,1.3101162
113,0.41381603,0.5331945,1.5104556
114,0.40744162,0.5197013,1.3345659
115,0.39933443,0.5332613,1.5750306
116,0.40687144,0.5177201,1.309792
117,0.40888146,0.5409886,1.6585597
118,0.41350257,0.5409543,1.3811463
119,0.4084239,0.52884984,1.5966597
120,0.40630004,0.52688026,1.5354117
121,0.41890946,0.5334742,1.3373848
122,0.4334463,0.5459973,1.3400612
123,0.3898835,0.5261962,1.31864
124,0.40695652,0.53047156,1.4620805
125,0.4085149,0.5187374,1.350764
126,0.41685086,0.52948666,1.3826909
127,0.42504334,0.53521013,1.3053076
128,0.42058438,0.53200245,1.6018556
129,0.39398777,0.50017947,1.4224795
130,0.40265867,0.51699483,1.4869951
131,0.3956739,0.5223415,1.3983238
132,0.42291003,0.5360106,1.3222448
133,0.40872446,0.5183251,1.3639803
134,0.4040474,0.5154552,1.4528242
135,0.39992356,0.51378715,1.3855469
136,0.4083851,0.5221392,1.5923382
137,0.4046344,0.5145285,1.584844
138,0.40731978,0.514618,1.3148696
139,0.40047732,0.51526344,1.310036
140,0.40840065,0.5206921,1.4354466
141,0.3969474,0.50640476,1.4285719
142,0.43110433,0.5284248,1.6671885
143,0.4159216,0.5137282,1.4309206
144,0.41545197,0.5262269,1.5128194
145,0.40308458,0.51118493,1.6331433
146,0.39409554,0.50283545,1.2538826
147,0.39970142,0.51976323,1.3210225
148,0.4048553,0.5281891,1.6056634
149,0.40491992,0.52237093,1.4418409
150,0.43577588,0.5370797,1.3047991
151,0.4187268,0.51919246,1.2792966
152,0.41316494,0.5067043,1.2771068
153,0.42012584,0.5263834,1.2844722
154,0.4075343,0.5168231,1.3070805
155,0.41578138,0.5214009,1.4350367
156,0.41968742,0.5194404,1.2634827
157,0.41448998,0.5179175,1.2834
158,0.428925,0.541062,1.3220481
159,0.4106889,0.51087195,1.3262818
160,0.3940766,0.4899579,1.3115959
161,0.41644374,0.517592,1.330329
162,0.41223818,0.49732628,1.2190659
163,0.44838756,0.5483422,1.0953119
164,0.3979531,0.50620115,1.2811695
165,0.40681607,0.49698535,1.3363082
166,0.40872282,0.5033232,1.3706237
167,0.42995632,0.5255582,1.4427781
168,0.39931026,0.50528854,1.3298718
169,0.4012167,0.50219965,1.0890763
170,0.40675074,0.5181528,1.1011423
171,0.40845418,0.5019542,1.1972829
172,0.39768574,0.5027003,1.1928134
173,0.42529845,0.5185133,1.2085879
174,0.3803511,0.4741429,1.0339203
175,0.38206995,0.47744662,1.3377211
176,0.38937595,0.4861361,1.3136296
177,0.39028478,0.4964032,1.1920543
178,0.40052053,0.49702802,1.1049175
179,0.41090018,0.509781,1.1905712
180,0.42103374,0.5239354,1.4291168
181,0.3883651,0.4886701,1.05697
182,0.39268348,0.49700743,1.0158584
183,0.3936756,0.4946899,1.4345303
184,0.39154413,0.49916494,1.4344605
185,0.4079724,0.5110964,1.3109486
186,0.41230795,0.5067631,1.2545766
187,0.38853338,0.49205822,1.3230853
188,0.40477538,0.50477606,1.2658836
189,0.43007976,0.53779936,1.310578
190,0.4242377,0.5244028,1.2280616
191,0.40398893,0.50714105,1.3312365
192,0.43902543,0.54237574,1.3587782
193,0.43584585,0.5362641,1.295438
194,0.3904017,0.4955678,1.2079842
195,0.39777038,0.5043759,1.4394677
196,0.3892223,0.48925638,1.1941944
197,0.47423753,0.5650333,1.37822
198,0.40556538,0.50825703,1.1928561
199,0.39157808,0.5019135,1.2767255
200,0.39969376,0.5056596,1.2161379
201,0.39785287,0.4990909,1.2919146
202,0.4179009,0.52273196,1.2791817
203,0.412572,0.5171394,1.2577736
204,0.4103304,0.5224136,1.0926138
205,0.39903465,0.50098187,1.1740261
206,0.3981387,0.49756974,1.1494384
207,0.39049014,0.49782532,1.2700596
208,0.3914286,0.4974112,1.2579235
209,0.4055641,0.51435745,1.2577486
210,0.39503488,0.49822995,1.2060504
211,0.38700527,0.4944504,1.3303097
212,0.4268836,0.5384618,1.1294326
213,0.40391362,0.5027232,1.1991768
214,0.41104567,0.51506513,1.1673803
215,0.3856654,0.4874924,1.2258066
216,0.41900158,0.5153429,1.4323149
217,0.41301316,0.5226436,1.287703
218,0.39429587,0.49854156,1.2343833
219,0.39825007,0.49355555,1.1752121
220,0.40760982,0.5170359,1.3057269
221,0.41081306,0.51777434,1.6374962
222,0.39091745,0.5033362,1.3175089
223,0.41652328,0.515857,1.2502849
224,0.40976682,0.5162305,1.1892374
225,0.39345485,0.5112461,1.1917156
226,0.42023855,0.5315571,1.2199363
227,0.38610592,0.5021164,1.2966305
228,0.37770608,0.48154542,1.359604
229,0.41393718,0.51224613,1.2655889
230,0.3992297,0.49744678,1.3126355
231,0.40507147,0.5131116,1.1506028
232,0.39026976,0.49702987,1.1615205
233,0.4247892,0.5163143,1.1867468
234,0.38289303,0.4797945,1.1948458
235,0.4181175,0.50611275,1.2112261
236,0.39483118,0.4884442,1.3562993
237,0.39516583,0.49327818,1.1945369
238,0.40570873,0.4967605,1.2081047
239,0.39471546,0.491355,1.0872531
240,0.4184359,0.5089902,1.5387788
241,0.40323666,0.4936195,1.1873496
242,0.39611477,0.48956642,1.0950358
243,0.39223152,0.492246,1.1696342
244,0.38211045,0.47912115,1.1151549
245,0.389197,0.49223337,1.1848701
