seed,run,total_reward
24012000,0,364.73523
24012000,1,14.527842
24012000,2,292.9248
24012000,3,325.10965
24012000,4,205.60757
24012000,5,54.882927
24012000,6,14.273842
24012000,7,8.858064
24012000,8,247.403
24012000,9,14.046563
