generation,MIN_MEAN-SQUARED-ERROR,AVG_MEAN-SQUARED-ERROR,MAX_MEAN-SQUARED-ERROR
1,0.40347758,0.95617497,2.0396008
2,0.36483648,0.711221,1.4810739
3,0.36588645,0.6123266,1.5777384
4,0.34799528,0.5501368,1.3564084
5,0.34670296,0.519494,1.3416132
6,0.34166765,0.49662307,1.3661865
7,0.33480752,0.4814041,1.1659881
8,0.31985992,0.46801838,1.3157269
9,0.3210593,0.46404174,1.3194377
10,0.30263677,0.45140213,1.3756919
11,0.30066445,0.44301072,1.5953358
12,0.30481434,0.43955162,1.292632
13,0.30048284,0.42246372,1.288573
14,0.29262894,0.41577742,1.2204698
15,0.3001679,0.4123188,1.2442262
16,0.2950542,0.4039221,1.2336594
17,0.2891702,0.40764484,1.7511259
18,0.30311018,0.40200484,1.3099474
19,0.29761997,0.4103663,1.2798511
20,0.29781166,0.39955255,1.3695526
21,0.29227883,0.39856967,1.3583717
22,0.29591876,0.40741143,1.3335931
23,0.29674527,0.39728302,1.2917396
24,0.2935479,0.39235413,1.1570129
25,0.2875082,0.39042616,1.3768913
26,0.2941203,0.39616665,1.2100711
27,0.29184228,0.39039648,1.1897057
28,0.29735273,0.3893022,1.233147
29,0.29405037,0.38513327,1.2772526
30,0.29045874,0.39127943,1.0960662
31,0.2952266,0.38246074,1.113852
32,0.30033338,0.38714835,1.1562948
33,0.2844868,0.37108305,1.0158005
34,0.28911462,0.3815397,1.1486531
35,0.28759268,0.38488176,1.145661
36,0.29290718,0.37365183,1.0873498
37,0.28800324,0.37686738,1.083109
38,0.2868389,0.37556085,1.0073899
39,0.28985628,0.3694506,1.0417285
40,0.28922918,0.3823717,1.2915512
41,0.28531393,0.37467182,1.271032
42,0.2910341,0.3767664,1.0928491
43,0.2879619,0.38440394,1.367571
44,0.27903637,0.3702839,1.1584895
45,0.27741352,0.3810157,1.3551841
46,0.28205913,0.38126284,1.4006113
47,0.27850252,0.37256613,1.0653466
48,0.2781502,0.3674004,0.9742478
49,0.2842424,0.3797125,1.6286334
50,0.2686949,0.37044978,1.244426
51,0.2635852,0.37195322,1.068477
52,0.26993817,0.37316042,1.3759154
53,0.2682868,0.381306,1.5403763
54,0.25701988,0.37008527,1.3338757
55,0.26476416,0.37566838,1.3855284
56,0.25969172,0.36845568,1.3215833
57,0.26115206,0.37499994,1.5182934
58,0.26225916,0.3721564,1.1904902
59,0.2625045,0.36894393,1.2691112
