generation,MIN_MEAN-SQUARED-ERROR,AVG_MEAN-SQUARED-ERROR,MAX_MEAN-SQUARED-ERROR
1,0.5500081,1.1034148,1.7770581
2,0.5511217,0.88887495,1.6504627
3,0.5500351,0.7597473,1.682952
4,0.5322388,0.6722538,1.3686022
5,0.5322388,0.6369657,1.3471951
6,0.5322388,0.6217663,1.3686022
7,0.52820396,0.6347784,1.5725038
8,0.5322388,0.6254867,1.257316
9,0.52572453,0.6257523,1.4327776
10,0.52572453,0.62094283,1.3404976
11,0.52572453,0.6130151,1.3472494
12,0.52572453,0.6121268,1.2663405
13,0.52572453,0.6217654,1.3608557
14,0.52151924,0.6102413,1.464001
15,0.51976806,0.62333065,1.3934625
16,0.516733,0.6114942,1.3867908
17,0.49653372,0.6057738,1.2872045
18,0.5070384,0.60327923,1.303015
19,0.49653372,0.6084679,1.2533259
20,0.49653372,0.6030135,1.661498
21,0.49653372,0.5994338,1.2628171
22,0.49653372,0.60070306,1.2533259
23,0.49653372,0.6073866,1.2840469
24,0.49653372,0.6020427,1.4752904
25,0.49653372,0.6036593,1.5203031
26,0.49653372,0.6002814,1.3146842
27,0.4965237,0.59137565,1.5532564
28,0.4965237,0.5931521,1.31101
29,0.4923154,0.59416765,1.3679037
30,0.48640648,0.5920939,1.2839314
31,0.48640648,0.5883167,1.2511466
32,0.48640648,0.5875247,1.3319529
33,0.4833426,0.5924476,1.374432
34,0.4833426,0.5998942,1.4289166
35,0.4786685,0.6064359,1.31101
36,0.4786685,0.59599626,1.4963742
37,0.4786685,0.58963996,1.5380198
38,0.4786685,0.6098927,1.4019935
39,0.47796485,0.6025507,1.5249188
40,0.4786685,0.59842366,1.6228402
41,0.47796485,0.588739,1.2319163
42,0.4786685,0.58912057,1.1839913
43,0.47796485,0.5837743,1.404785
44,0.47796485,0.57662237,1.2001675
45,0.47738653,0.57432866,1.2319163
46,0.45599407,0.589823,1.3410567
47,0.45599407,0.5839607,1.3459903
48,0.45599407,0.59606254,1.3719443
49,0.45599407,0.5869793,1.314075
50,0.45599407,0.5812694,1.4213612
51,0.45599407,0.5866641,1.2565571
52,0.45599407,0.58789194,1.6687236
53,0.45599407,0.58238244,1.3808762
54,0.45599407,0.5802628,1.3588276
55,0.45599407,0.5839253,1.3797554
56,0.45599407,0.58297926,1.5313803
57,0.45599407,0.5932643,1.3360693
58,0.45599407,0.5933535,1.43944
59,0.45599407,0.5942068,1.5363113
60,0.45599407,0.58961916,1.2573138
61,0.45599407,0.5851668,1.3332298
62,0.45599407,0.58421475,1.2942433
63,0.45599407,0.5905574,1.3101104
64,0.45599407,0.58481055,1.403939
65,0.45487615,0.5822526,1.2925978
66,0.45277476,0.57716566,1.2251118
67,0.45277476,0.5943889,1.4635664
68,0.45277476,0.59457904,1.2990572
69,0.4483668,0.5964778,1.2723727
70,0.45100126,0.58615476,1.2626553
71,0.45100126,0.5949893,1.4149867
72,0.45100126,0.5907262,1.4929967
73,0.45100126,0.5924506,1.5139661
74,0.45100126,0.59104717,1.2291614
75,0.45061156,0.59034455,1.3391237
76,0.45061156,0.58359426,1.3482484
77,0.45061156,0.58672494,1.3621718
78,0.45061156,0.5896566,1.2918781
79,0.4403945,0.58295435,1.4479661
80,0.4403945,0.5932306,1.4312652
81,0.4403945,0.58385634,1.3745042
82,0.4403945,0.58236265,1.3909388
83,0.44041482,0.5835773,1.3126048
84,0.44841942,0.59565455,1.43944
85,0.44841942,0.5978426,1.4038333
86,0.45599407,0.5963406,1.5631844
87,0.45599407,0.59956926,1.336431
88,0.45599407,0.5987784,1.5441759
89,0.45599407,0.5970123,1.3768554
90,0.45003793,0.60401946,1.3550712
91,0.45003793,0.60487944,1.4355241
92,0.45003793,0.59130955,1.4221568
93,0.45003793,0.5876989,1.4195203
94,0.45003793,0.597285,1.6096056
95,0.44630626,0.5990485,1.3425131
96,0.45003793,0.594294,1.363065
97,0.45003793,0.60216504,1.3066164
98,0.45003793,0.5938405,1.3647035
99,0.45003793,0.592094,1.2765083
100,0.45003793,0.59626603,1.5301665
101,0.45003793,0.59456724,1.6998235
102,0.45003793,0.59414166,1.4280995
103,0.4493972,0.58304477,1.2787228
104,0.4493972,0.59358203,1.2781068
105,0.4493972,0.5952438,1.6884773
106,0.4499804,0.5866886,1.5838066
