generation,MIN_MEAN-SQUARED-ERROR,AVG_MEAN-SQUARED-ERROR,MAX_MEAN-SQUARED-ERROR
1,0.5420824,1.1017454,1.796367
2,0.5339124,0.88653135,1.4457744
3,0.5339124,0.75965655,1.479055
4,0.5284234,0.68131834,1.4654295
5,0.5284234,0.6375542,1.3698182
6,0.5284234,0.6242219,1.5775862
7,0.5284234,0.61617327,1.43957
8,0.52638125,0.608082,1.3195719
9,0.52638125,0.6174551,1.3765725
10,0.5266434,0.6166009,1.4092523
11,0.52100575,0.6100413,1.2449324
12,0.52100575,0.603768,1.3520992
13,0.52100575,0.6050774,1.3446105
14,0.52100575,0.5971112,1.3549429
15,0.5140621,0.59729254,1.3689553
16,0.5140621,0.5983934,1.4034234
17,0.50568277,0.599829,1.3628845
18,0.50568277,0.6054415,1.3812693
19,0.50568277,0.5929811,1.2435794
20,0.50403696,0.59198433,1.303817
21,0.50403696,0.58832014,1.215519
22,0.50568277,0.59300935,1.1485913
23,0.50568277,0.58376145,1.1502745
24,0.5054756,0.58289576,1.2787591
25,0.5054756,0.59299237,1.4482964
26,0.5054756,0.5856849,1.3065664
27,0.5054756,0.5832386,1.3322037
28,0.50315565,0.58433545,1.2921493
29,0.49735257,0.58272403,1.1987617
30,0.4890538,0.5857371,1.581687
31,0.4890538,0.58398175,1.3107961
32,0.4890538,0.5899686,1.40616
33,0.4890538,0.58390373,1.2096705
34,0.4890538,0.59062034,1.3501621
35,0.48783958,0.59759146,1.257316
36,0.48783958,0.5904252,1.2078184
37,0.48901397,0.599293,1.5515254
38,0.48901397,0.5886431,1.3067919
39,0.4890538,0.58791137,1.3410823
40,0.4890538,0.589056,1.2376479
41,0.4890538,0.5898719,1.4793581
42,0.4890538,0.5995079,1.404785
43,0.4890538,0.60468143,1.3471951
44,0.48621154,0.59763825,1.288182
45,0.48621154,0.5898965,1.404785
46,0.48621154,0.597622,1.4047824
47,0.48621154,0.5831853,1.31101
48,0.4811203,0.5837713,1.317022
49,0.4811203,0.586564,1.284069
50,0.4811203,0.5858215,1.31101
51,0.4811203,0.58969116,1.404785
52,0.4811203,0.5895243,1.4032451
53,0.4811203,0.5928151,1.228305
