generation,MIN_MEAN-SQUARED-ERROR,AVG_MEAN-SQUARED-ERROR,MAX_MEAN-SQUARED-ERROR
1,0.5544654,1.1137489,1.7499657
2,0.5420824,0.9146865,1.5321081
3,0.5387381,0.7801384,1.3623289
4,0.52339584,0.6875829,1.3314884
5,0.5387381,0.6475567,1.404785
6,0.5290669,0.6260951,1.3152074
7,0.52508533,0.6198917,1.3073084
8,0.52508533,0.6246367,1.437043
9,0.52508533,0.62533164,1.2571665
10,0.5200838,0.6242908,1.3438503
11,0.5131196,0.6075956,1.3471951
12,0.5131196,0.59931725,1.3417984
13,0.512925,0.5761628,1.2345524
14,0.4946768,0.5677379,1.0883644
15,0.4946768,0.5748144,1.2204618
16,0.4946768,0.5673633,1.3298762
17,0.4946768,0.568363,1.2134646
18,0.49329895,0.5768838,1.342406
19,0.489989,0.5713916,1.2747812
20,0.489989,0.585506,1.310978
21,0.489989,0.584192,1.2047652
22,0.4897693,0.5975226,1.4186174
23,0.4897693,0.5971808,1.4047514
24,0.4897693,0.6116346,1.4047256
25,0.4897693,0.60524064,1.4047514
26,0.4897693,0.6214058,1.4047514
27,0.48766986,0.6238076,1.4047514
28,0.48766986,0.6288982,1.4047514
29,0.48766986,0.6333998,1.4047514
30,0.48766986,0.64191276,1.6477249
31,0.48766986,0.6322706,1.4343698
32,0.48766986,0.6356479,1.6804755
33,0.48766986,0.6357729,1.7079005
34,0.4790224,0.6292664,1.6134884
35,0.47741142,0.6354035,1.296324
36,0.4790224,0.64104813,1.7077727
37,0.4790224,0.63376206,1.7154336
38,0.4790224,0.6506596,1.7079005
39,0.47867432,0.6504379,1.7098076
40,0.47318134,0.6412906,1.7063051
41,0.47318134,0.64760303,1.7079005
42,0.47318134,0.6435779,1.5531813
43,0.47318134,0.62980133,1.7079005
44,0.47318134,0.6407894,1.4441162
45,0.47318134,0.6436644,1.7107348
46,0.47318134,0.63329625,1.4026791
47,0.47318134,0.642877,1.7079005
48,0.47318134,0.6310872,1.605514
49,0.47318134,0.6201682,1.4076006
50,0.47318134,0.63333493,1.7315942
51,0.47318134,0.6260661,1.487309
52,0.47318134,0.6206025,1.575314
53,0.47318134,0.64247954,1.4343698
54,0.47318134,0.62952965,1.4767306
55,0.47318134,0.6286323,1.6055467
56,0.47318134,0.63800335,1.6055467
57,0.47318134,0.6441084,1.6170931
58,0.46872455,0.6386311,1.4310963
59,0.46872455,0.6328892,1.4025177
60,0.4499215,0.64669585,1.5032204
61,0.4499215,0.6342491,1.4210277
62,0.4499215,0.6348098,1.3320146
63,0.4499215,0.6381659,1.3881038
64,0.45637333,0.63897526,1.6206648
65,0.4499215,0.6418559,1.6055467
66,0.4499215,0.63361865,1.4210277
67,0.4499215,0.63902545,1.466621
68,0.4499215,0.6401346,1.5678939
69,0.4499215,0.6267052,1.5737392
70,0.4499215,0.6250601,1.6875926
71,0.4499215,0.6269717,1.6088055
72,0.4499215,0.6253054,1.4023077
73,0.4499215,0.62772447,1.5799123
74,0.4499215,0.6191467,1.42914
75,0.45447195,0.61294013,1.5014149
76,0.45637333,0.6155245,1.3960308
77,0.4499215,0.6145302,1.4699498
78,0.4499215,0.61074203,1.6128283
79,0.4499215,0.6260341,1.5799123
80,0.4499215,0.6188127,1.4398111
81,0.4499215,0.6156529,1.7123482
82,0.4499215,0.6195439,1.6107643
83,0.4499215,0.6268536,1.5233473
84,0.4499215,0.6132297,1.5040894
85,0.4499215,0.61083543,1.43453
86,0.4499215,0.62156713,1.6044089
87,0.44947585,0.626276,1.4343344
88,0.4499215,0.63168025,1.5051584
89,0.44367796,0.62559724,1.5051584
90,0.44367796,0.60589933,1.4211406
91,0.44367796,0.6208384,1.5546588
92,0.44367796,0.6315794,1.7078656
93,0.44367796,0.6180145,1.4931797
94,0.4499215,0.62051797,1.6055467
95,0.44947585,0.62330663,1.4412525
96,0.4499215,0.6346275,1.7078012
97,0.4499215,0.61944467,1.4004351
98,0.4499215,0.6327257,1.6550477
99,0.4499215,0.62635124,1.6055467
100,0.44928497,0.6344472,1.6055467
101,0.4499215,0.6324892,1.5816853
102,0.4499215,0.62261754,1.7078012
103,0.44981745,0.6091176,1.391811
104,0.44312736,0.62951905,1.6802675
105,0.44312736,0.6141644,1.4523426
106,0.44312736,0.6283015,1.5536453
107,0.44312736,0.61437404,1.6061444
108,0.44312736,0.62230134,1.6055467
109,0.44312736,0.61817837,1.3930247
